title,company,min_exp,max_exp,location,skills,posted_days
Nexthink Analyst,Shashwath Solution,4,9,['Bengaluru'],"['project management', 'power bi', 'powershell', 'troubleshooting', 'bash scripting', 'app-v', 'application packaging', 'bi']",7.0
ECG Analyst,Innvocon Learning Solutions,2,4,"['Bengaluru', 'Dehradun']","['ecg databases', 'ecg analysis', 'ecg interpretation', 'cardiac recording analysis', 'ecg abnormalities identification', 'holter monitor review', 'review', 'cardiac']",7.0
SuccessFactors Analyst,FloraFoods Management Pvt. Ltd.,5,10,['Hybrid - Bengaluru(ITPL)'],"['employee central', 'analysis', 'successfactors']",7.0
O2C - Analyst,Placewell1,3,7,['Bengaluru'],"['order to cash', 'otc', 'o2c cash application', 'accounts receivable', 'ar processing', 'o2c billing', 'cash applications', 'application']",7.0
Deal Desk Analyst,Adobe,1,5,['Bengaluru'],"['quote to cash', 'deal desk', 'order management', 'saas', 'salesforce', 'sap', 'power bi', 'pricing']",14.0
SuccessFactors Analyst,Flora Food Group,1,5,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['project management', 'apqp', 'configuration', 'cmdb', 'spc', 'project leadership', 'business rules', 'service catalog']",1.0
Analyst Programmer - .NET (ASP.net & .NET Core),Yokogawa Electric International Pte,3,7,['Bengaluru'],"['coding', 'postgresql', 'artificial intelligence', 'mysql', 'asp.net', 'html', 'json', 'mvc']",1.0
ICP - MS Analyst ( MALE ),Arbro Pharmaceuticals,1,3,['Bengaluru'],"['icp-ms', 'icp-oes', 'icp', 'spectrometer', 'microsoft']",1.0
Analyst,Wipro,0,1,['Bengaluru'],"['bank loan', 'bank debt', 'cash and position reconciliation', 'loan rollover', 'debt', 'cash', 'positioning', 'reconciliation']",21.0
"FinOps Analyst , FinOps",Amazon,0,1,['Bengaluru'],"['service delivery', 'typing speed', 'excel', 'general accounting', 'business modeling', 'oracle financials', 'ms office', 'internship']",
FinOps Analyst -,Amazon,0,5,['Bengaluru'],"['excel', 'invoice processing', 'invoice verification', 'payment processing', 'accounts payable', 'payments', 'analysis', 'payables']",
Cerner Analyst,Tech Mahindra,0,0,['Unknown'],"['cerner', 'orders', 'cerner core', 'cerner rules', 'cerner soarian', 'scheduling', 'ccl', 'him']",7.0
Metadata Analyst,Exxon Mobil Corporation,1,8,['Bengaluru'],"['automation', 'networking', 'data management', 'project management', 'continuous improvement', 'operations', 'analytics', 'monitoring']",
Analyst,eClerx,0,1,['Bengaluru'],"['rta', 'financial analysis', 'project management', 'data analysis', 'quality control', 'team management', 'forecasting', 'rostering']",
Analyst,eClerx,0,3,['Bengaluru'],"['incident management', 'project management', 'team management', 'it services', 'program management', 'business analysis', 'networking', 'business development']",
Analyst,Grant Thornton India Pvt Ltd,0,1,['Bengaluru'],"['rcs', 'web technologies', 'excel', 'relationship', 'internet research', 'customer service', 'computer proficient', 'research']",
Analyst,eClerx,0,2,['Bengaluru'],"['corporate actions', 'settlements', 'trading', 'data management', 'report generation', 'data processing', 'investment banking', 'regulatory reporting']",
Analyst,Goldman Sachs,0,4,"['Bengaluru', 'Hyderabad']","['financial control', 'networking', 'wellness', 'html', 'investment banking', 'asset management', 'investment management', 'training and development']",
Analyst / Associate,Singhi Advisors,1,2,"['Bengaluru', 'Mumbai', 'New Delhi']","['due diligence', 'financial statements', 'networking', 'equity research', 'mis', 'project management', 'analytical', 'corporate finance']",
Rebate Analyst,Corteva Agri Science (The Agriculture Division Of DowDuPont),5,10,['Bengaluru'],"['process design', 'data analysis', 'erp', 'sap', 'mis', 'process improvement', 'analytical', 'billing']",
Cybersecurity Analyst APAC,Colliers,1,5,['Bengaluru'],"['supply chain', 'data analysis', 'cisa', 'cyber security', 'information security', 'iso 27001', 'windows', 'microsoft']",
Background Checks Analyst,Millennium Management,2,5,['Bengaluru'],"['law enforcement', 'document review', 'compliance', 'analytical', 'investigation', 'database', 'hr', 'financial services']",21.0
FP&A Analyst,3M India,3,5,['Bengaluru'],"['supply chain', 'data analysis', 'financial reporting', 'cma', 'process improvement', 'analytical', 'financial planning', 'variance analysis']",
Programmatic Analyst,Zeta Global,1,6,['Bengaluru'],"['programmatic analytics', 'storytelling', 'vba', 'data manipulation', 'troubleshooting', 'tableau', 'macros', 'python']",
Analyst - SecOps,Converge Electronics,3,5,['Bengaluru'],"['hp data protector', 'data security', 'soc', 'analytical', 'network security', 'siem', 'microsoft', 'information technology']",21.0
Analyst - SecOps,Einfochips,3,5,['Bengaluru'],"['hp data protector', 'data security', 'soc', 'analytical', 'network security', 'siem', 'microsoft', 'information technology']",21.0
Gas Chromatography ( GC analyst ),Auriga Research,2,3,['Bengaluru'],"['gas chromatography', 'gc', 'analytical instruments', 'gc analysis', 'analysis', 'analytics', 'gas', 'analytical']",
Celonis CoE Analyst,Derisk360,5,9,['Bengaluru'],"['sap', 'analytical', 'etl tool', 'data warehousing concepts', 'analysis', 'etl', 'analytics', 'warehouse']",
ESG Analyst,Solaron Sustainability,2,7,['Bengaluru'],"['primary research', 'industry research', 'eye for detail', 'research analyst', 'working', 'company', 'analytical skills', 'excellent communication']",
Analyst,Center Study Science Technology Policy,1,2,['Bengaluru'],"['project development', 'data analysis', 'literature', 'analytical', 'report writing', 'research', 'ms office', 'application analyst']",
Analyst,Consero,2,6,['Bengaluru'],"['analytical skills', 'analyst', 'excel', 'accounting', 'financial planning', 'consulting', 'budgeting', 'data mining']",
Analyst,Center Study Science Technology Policy,1,3,['Bengaluru'],"['analytical skills', 'ms office powerpoint', 'data collection', 'transition', 'model development', 'html', 'ms office', 'powerpoint']",
Analyst MLM,Lowes Services India Private limited,3,8,['Bengaluru'],"['supply chain management', 'operations research', 'ms access', 'project management', 'business analytics', 'analytical', 'data mining', 'forecasting']",
Analyst,Center Study Science Technology Policy,1,3,['Bengaluru'],"['analytical skills', 'usage', 'excel', 'data collection', 'transition', 'model development', 'ms office', 'powerpoint']",
Insights Analyst,Convegenius Edu,4,9,['Bengaluru'],"['health insurance', 'google analytics', 'data modeling', 'mis', 'analytical', 'e-governance', 'data collection', 'business intelligence']",
Analyst,Urbanpiper,1,3,['Bengaluru'],"['settlements', 'hrms', 'hlookup', 'macros', 'data analytics', 'law', 'data analysis', 'mis reporting']",
FP&A Analyst,Vee Healthtek,3,7,['Bengaluru'],"['data analysis', 'erp', 'sap', 'analytical', 'strategic planning', 'corporate finance', 'budgeting', 'oracle']",
Analyst,Center Study Science Technology Policy,2,7,['Bengaluru'],"['economics', 'chemical', 'literature', 'simulation', 'analytical', 'mechanical', 'data collection', 'application analyst']",
Analyst,Center Study Science Technology Policy,2,7,['Bengaluru'],"['environmental science', 'excel', 'project leadership', 'analytical', 'research', 'management', 'ms office', 'powerpoint']",
Real - World Evidence Analyst,Mango Sciences,4,6,['Bengaluru'],"['analyst', 'operations research', 'project management', 'analytical', 'agile', 'healthcare', 'microsoft', 'econometrics']",
Principal Analyst - FP&A,Anheuser Busch InBev,4,6,['Bengaluru'],"['procurement', 'supply chain', 'erp', 'data management', 'cognos', 'mis', 'ms office', 'project delivery']",
Analyst,ARP Investments,2,4,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['analyst', 'investor relations', 'data management', 'risk management', 'portfolio management', 'forecasting', 'analytics', 'python']",
FP&A Analyst,TYA Business Solutions,2,5,['Bengaluru'],"['data management', 'financial reporting', 'financial analysis', 'business finance', 'analytical', 'advanced excel', 'data visualization', 'forecasting']",
FP&A Analyst CA,Tyasuite Software Solutions,2,5,['Bengaluru'],"['data management', 'financial reporting', 'financial analysis', 'business finance', 'analytical', 'advanced excel', 'data visualization', 'forecasting']",
