title,company,experience,location,description,skills,posted
Research Analyst,Crispidea,0-1 Yrs,Bengaluru,At present we have Research Analyst requirement in the research vertical. Expected CTC ...,"Industry research, NISM, Ratio analysis, PDF, Excel, MS Word, Stock market, Research Analyst",3+ weeks ago
Walk-in drive - Web Research Analyst,Trupp Global Technologies,,,"Education: Any graduate (BCom, BBA, BA, BSc, etc.)Freshers and candidates with no gradu...","Data Research, Internet Research, Bpo Non Voice, Web Research, non voice international BPO non voice, Business Research, International Non Voice, Online Research",3 weeks ago
Research Analyst - Consultant,Shashwath Solution,0-1 Yrs,Bengaluru,"Experience: FreshersQualification: 2nd PUC, Diploma, B.A, BCAB.E, MCA, not relevant( Pl...","data analysis, internet research, research analysis, data collection, database management, data research, history, market research",3 weeks ago
Research Analyst,Shashwath Solution,0-1 Yrs,Bengaluru,"Opening for Research Analyst ConsultantExperience: FreshersQualification: 2nd PUC, Dipl...","internet research, data research, data processing, research analysis, data collection, business research, data analysis, industry research",3 weeks ago
Research Analyst - Consultant,Shashwath Solution,0-5 Yrs,Bengaluru,Qualifications & SkillsDiploma or Graduation from any reputed universityFreshers prefer...,"internet research, research analysis, market research, secondary research, ups, business research, transformers, data analysis",3 weeks ago
Market Research Analyst,Apeiron Global,0-2 Yrs,Bengaluru,Proven Market Research Analysis experience . Ability to interpret large amounts of data...,"SAS, Web analytics, Business research, Competitive analysis, Analytical, Data collection, Market research, SPSS",3+ weeks ago
Junior Research Analyst,Diligent Corporation,0-2 Yrs,Bengaluru,Strong academic qualifications (Graduate degree in international relations / law / poli...,"Manager Quality Assurance, French, Analytical, Data collection, Workflow, Wellness, Spanish, Data quality",3+ weeks ago
Research Analyst,Shashwath Solution,0-1 Yrs,Bengaluru,Job DetailsThe company provides IT enabled Data research & processing services for a US...,"internet research, data research, research analysis, word management, data collection, microsoft office applications, mainframes, sharepoint designer",3 weeks ago
Research Analyst,Vyuhpharma,0-3 Yrs,Bengaluru,"They should have been involved in client interactions, mentoring, travel to healthcare ...","Report generation, Analytical, Focus, Healthcare, Project planning, Research, Research Analyst, Generation",3+ weeks ago
RESEARCH ANALYST,Fair Finance,0-2 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",Fair Finance is looking for RESEARCH ANALYST to join our dynamic team and embark on a r...,"Research Analyst, Research analysis, Research, Analysis",3+ weeks ago
Business Risk & Controls Analyst,Equiniti India,5-10 Yrs,"Bengaluru, Chennai",3 days of additional leaves on & above statutory requirement along with 2 days of volun...,"remediation, Assurance, Brc, HP data protector, Analytical, Risk management, MS Office, Monitoring",3+ weeks ago
Web Research Content Analyst,Trupp Global Technologies,0-3 Yrs,Bengaluru,"Bachelors degree in English, communications, or related field (Masters degree, a plus) ...","Production, Content writing, Research, Content Analyst, Web research, Content, Content Analysis, Web technologies",3+ weeks ago
Business Risk & Controls Analyst,Equiniti India,5-10 Yrs,"Bengaluru, Chennai",3 days of additional leaves on above statutory requirement along with 2 days of volunta...,"remediation, Brc, HP data protector, Analytical, Risk management, MS Office, Monitoring, Testing",3+ weeks ago
Business Analyst-Accounts Receivable (ERP/Financial Software),iRely,7-12 Yrs,Hybrid - Bengaluru(Vasanth nagar +1),Qualifications & Skills: . 5+ years experience as a Business Analyst in software produc...,"Software Product, Agile, Accounts Receivable Module, Business Analysis, International trade, Documenting business requirements, ERP on General Financials, General",1 day ago
Reference Data Analyst,Deutsche Bank,2-6 Yrs,Bengaluru,About The Role : We strive for a culture in which we are empowered to excel together e...,"investment banking, capital market, derivatives, fixed income, finance, data management, data analysis, bloomberg",1 day ago
Group Data Privacy (GDP) Data Privacy Analyst - NCT,Deutsche Bank,1-5 Yrs,Bengaluru,Advise Service Officers of divisions and infrastructure functions on Data Protection re...,"relationship building, sharepoint, lotus notes, presentation skills, regulations, rhino, jsp, mql",1 day ago
Business Analyst - Central Finance,Shell,9-14 Yrs,Bengaluru,"9+ years of hands-on project experience in SAP FI, Asset Accounting, and SAP S4 Central...","core finance, sap, sap fi, central finance, asset accounting, fixed assets, accounts receivable, business process modeling",1 day ago
"Sr. Financial Analyst, GFS FP&A, GFS FP&A",Amazon,4-9 Yrs,Bengaluru,"4+ years of tax, finance or a related analytical field experience CPA, or MBA 4+ years ...","Data analysis, SAP, Financial reporting, MS Access, Cognos, JD Edwards, Oracle, Forecasting",1 day ago
Data Analyst Manager,Genpact,5-10 Yrs,Remote,"Bachelors degree in finance, Business, or a related field Minimum QualificationsPreferr...","Power Bi, Banking Sector, Tableau, Risk Control, Python, Excel, Bi, Data",1 day ago
Senior Financial Analyst,CBRE,2-6 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",This role is responsible for assisting the Financial Reporting Team and ensuring all mo...,"financial analysis, settlements, insurance, erp, sap, sales invoice, business services, vat",1 day ago
Manager Business Planning & Analysis.CA - IBG Finance and Planning,Mashreq Global Services,5-10 Yrs,Bengaluru,+5 years experience in a similar reporting function in Banking,"Analytical skills, Customer profitability, Business Head, Automation, Financial analysis, Group Head, Management, Variance analysis",1 day ago
Data Analyst II,Nielsen Sports,1-4 Yrs,Bengaluru,"As part of the Global Delivery Hub Project Management team, you'll build Nielsen Spo...","Automation, Service level, Project management, Project planning, Business intelligence, microsoft, Continuous improvement, SQL",1 day ago
Data Analyst II,Zoom Info,2-5 Yrs,Bengaluru,"You pursue technical training and development opportunities, and strive to continuously...","Product management, Automation, Quantitative research, Data processing, Data Analyst, Analyst II, Data quality, Troubleshooting",1 day ago
Walk-in Middle Office Reference Data Analyst Bengaluru,Hexaware Technologies,,,"Shift: EMEA (late UK shift, includes night shift) Please share your updated resume to a...","Middle Office, Trade Support, Reference Data, Corporate Actions, Trade Life Cycle, Static Data, Corporate, Data",1 day ago
Data Analyst â€“ Power BI & Azure,IBM,5-10 Yrs,Bengaluru,"Power BI Development & Visualization: Design, develop, and maintain interactive Powe...","microsoft azure, power bi, sql, data governance, dax, data analytics, bi, azure synapse",2 days ago
Lead Data Analyst - L1,Wipro,8-10 Yrs,Bengaluru,Experience: 8-10 Years,"data analysis, data mining, data warehousing, data governance, data integration, python, data analytics, data validation",2 days ago
Senior Financial Controls Analyst,Wells Fargo,4-9 Yrs,Bengaluru,Bachelors degree in commerce (BCom) is requiredProfessional certifications preferred: C...,"Financial Controls Analysis, risk management, SOX 404 testing procedures, COSO, financial reporting, RCSA, Analysis, Reporting",1 day ago
"Investment Bank F2B Ops Transformation Data Engineer/ Analysts, NCT",Deutsche Bank,4-7 Yrs,Bengaluru,Financial Services and IB experience would be usefulYour skills and experience . 4+ yea...,"six sigma, presentation skills, financial services, investment banking operations, lean, risk management, data analytics, investment banking",1 day ago
Data Scientist & Analyst,iTDAY INDIA,5-7 Yrs,Bengaluru,"Experience using web services: Redshift, S3, Spark, DigitalOcean, etc. Excellent writte...","Computer science, C++, Data analysis, Simulation, Coding, MySQL, Machine learning, Javascript",3+ weeks ago
Senior Business Analyst,Hireginie,2-4 Yrs,Bengaluru(HSR Layout),Experience: 2-4 years as a Business Analyst in a B2C / D2C product startup or a similar...,"Excel, SQL, Power Bi, Data Analysis, Agile, Tableau, Python, Business Analysis",2 days ago
Sr Business Analyst| Agile Methodology| 7+yrs| Hybrid| Pune Bangalore,Reputed MNC,7-12 Yrs,"Hybrid - Bengaluru, Pune",JOB TITLE: Senior Business AnalystLOCATION: Bangalore or Pune OfficeWork Module: Hybri...,"Agile Methodology, Business Analytics, Planning And Analysis, Reporting And Analytics, Azure Devops, MS Office, Microsoft Azure, SR",4 days ago
"Sr. Business Intelligence Analyst, Operational Analytics",Saviynt,6-11 Yrs,Bengaluru,"Bachelor s degree in Computer Science, Information Systems, Business Analytics, Data Sc...","ERP, Data analysis, Manager Quality Assurance, Data modeling, Performance testing, Stored procedures, Business intelligence, Troubleshooting",3+ weeks ago
Senior Lead Business Analyst,Infinite,7-10 Yrs,Bengaluru,"Assists in evaluation of business requests to determine feasibility, researches and ide...","IT Business Analyst, Data analysis, Application support, Business analysis, Project management, Analytical, Customer service, Technical support",5 days ago
Senior Business Analyst _Guidewire _2-12Yrs,Leading Software Technologies,2-7 Yrs,"Hybrid - Bengaluru, Kolkata, Pune","as a Guidewire BA _Policy /Billing Center & will involve requirement gathering, analysi...","Business Analysis, Insurance, Guidewire, Stakeholder Management, Billing Center, Integration, Claims, Requirement Gathering",1 day ago
Senior Business Analyst - BSS,Netcracker,12-18 Yrs,"Bengaluru, Hyderabad, Pune, Gurugram","Build expertise on Netcracker product suite, primarily Order Capture Application and...","Telecom, Bss, UML, Configuration management, Billing, Agile, PLSQL, Virtualization",3+ weeks ago
Customer Support Analyst,Elula Tech,0-2 Yrs,Bengaluru,Take the role of a consultant in evaluating a customers requirement and map it to a pro...,"Customer Support, Product management, IT Analyst, Business Analyst, Wordpress, Customer Handling, IT Consultant, Consulting",1 day ago
Analyst - Tax/Audit,Miles Education,0-1 Yrs,"Bengaluru, Hyderabad, Chennai",Experience: Fresher . Qualification: BCom / MCom / MBA / CPA Pursuing / CMA Pursuing / ...,"Us Tax, Us Audit, Auditing, Analysis, Taxation",1 day ago
Senior Business Analyst - -Asset/ Investment Management,Exafluence Global Analytics,6-10 Yrs,"Bengaluru, Chennai",Looking for a highly skilled and motivated Business Analyst with deep domain expertise ...,"Capital Market, Investment Banking, Derivatives, JIRA, Investment Management, Bloomberg, Brd, Confluence",2 weeks ago
Credit Analyst(Commercial banking Group)Immediate Joiner & Female only,Axis Bank,0-5 Yrs,Bengaluru,Note: for CA Female Fresher and Immediate joiner Only or Previous experience as credit ...,"Credit Analysis, Working Capital, CA, Commercial, Credit, Analysis, Commercial banking",1 week ago
"Analyst-German,French,Spanish,Portuguese or Italian Language Skills",Axa Xl,0-4 Yrs,Bengaluru,. University graduate with couple ofyears of ground work experience,"german, spanish, german language, italian, french, foreign language, language teaching, spanish translation",1 day ago
Operations Analyst,Rexera,0-2 Yrs,Bengaluru,Shift timings: 9:00 pm to 6:00 am ISTProficiency in using online research tools and com...,"MS Excel, Operations, order processing, US Process, operational support, mortgage, Voice Process, CRM",1 day ago
IT Analyst,Elula Tech,0-2 Yrs,Bengaluru,I have attached through mail Key Responsibilities:Analyze and evaluate IT systems and p...,"IT Analysis, configurations, installations, IT Infrastructure Services, Troubleshooting, Infrastructure Services, Infrastructure, Analysis",1 day ago
Hiring freshers For Technical Support Analyst Role!!CTC UPTO 5Lac,Infosys,,,Were Hiring Technical Support Advisor (US Shifts) Shift: US ShiftsEligibility: Graduate...,"L1 support, technical support, Microsoft Windows, IT Helpdesk, hardware support, Network Support, IT Support, Troubleshooting",1 day ago
Credit Analyst,Zippmat,0-2 Yrs,Bengaluru,Any one who wants to do INTERNSHIP can apply !! Freshers can apply !!,"Credit Analysis, Credit Operations, Financial Analysis, Credit Appraisal, Credit Risk Management, Credit Underwriting, Credit Processing, Credit Monitoring",1 day ago
Trainee Analyst,Qspiders A Unit Of Test Yantra Software Solutions India,0-1 Yrs,"Bengaluru, Hyderabad, Mumbai (All Areas)",Experience:- Freshers or Experience (Female Candidates). Salary :- Non disclosure ( fix...,"Good English Communication, Fluent English, International Call Center, Good Comm Skills, Voice Process, English Language, Voice Support, Communication Skills",3 days ago
Senior Business / System Analyst,Estuate Software,4-9 Yrs,Bengaluru,"Afternoon shifts Proficient in writing user stories, use cases, functional and non-func...","Change management, ISO, UML, Bfsi, System integration, Agile, Healthcare, Scrum",4 days ago
Bpo Quality Analyst,Bpo Companies,,,"Bpo quality analyst Anyone can apply With a language known Hindi, Marathi, Assamese, , ...","Bengali, Call Monitoring, Marathi, Assamese, Quality analyst, Quality Audit, English, Call Quality",3 days ago
Ptp Analyst,manpower groups,0-4 Yrs,Bengaluru,"Roles and ResponsibilitiesProcess accounts payable invoices accurately and timely, ensu...","Invoice Processing, P2P, Accounts Payable, P2P Cycle, Payables, Process, Accounting, Processing",1 week ago
Order To Cash Analyst,Accenture,0 Yrs,Bengaluru(Marathahalli),Role & responsibilities:Outline the day-to-day responsibilities for this role.Preferred...,"Accounts Receivable, Collections, Cash Applications, Cash Apps, OTC, Application, Order To Cash, Cash",2 weeks ago
"Senior Business Systems Analyst (Vertex, OneSource))",Clarivate,5-10 Yrs,Hybrid - Bengaluru,"About You Experience, Education, Skills, and Accomplishments . Education: . Bachelors d...","vat, gst, oracle e-business suite, tax reporting, sales tax, erp, oracle, software testing",3 weeks ago
"Senior Business Systems Analyst (Vertex, OneSource))",Clarivate,5-10 Yrs,Bengaluru,"Bachelor s degree in Information Systems, Accounting, Taxation, Finance, or a related f...","System testing, ERP, Automation, Change management, Production support, Reconciliation, data mapping, Taxation",3+ weeks ago
Senior Business Analyst - Credit Risk,Luxoft,8-13 Yrs,Bengaluru,Minimum 8 years of industry experience in BA / DA roles. Strong understanding of credit...,"securitization, sql, credit risk modelling, regulations, sdlc, python, sas, credit risk",2 weeks ago
"Senior Business Analyst (Exp in Risk (KYC, CDD. AML) / Web (UI/UX))",Optimum Solutions,5-10 Yrs,Bengaluru,Support internationalization (i18n) and localization (l10n) initiatives to enable globa...,"AML, UI/UX, CDD, Web Platform, KYC, Business Analyst",1 week ago
Business Analyst(Data & Dashboards),Stats Systems India,2-4 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",". Stakeholder Management: Build strong relationships with business users, understanding...","Graphics, Computer science, Data analysis, Data modeling, Analytical, Data quality, microsoft, Continuous improvement",3+ weeks ago
Business Data Analyst || UK-Based Global Retail || Immediate Joiner,Careator Technologies Pvt. Ltd.,5-10 Yrs,Hybrid - Bengaluru(Whitefield),Shift: 12 PM 9 PM IST Notice Period: Immediate joiners or up to 15 days only Experience...,"Data Lineage, Metadata, Discovery Analyst, Data Governance, Metadata Management, Data Profiling, Data Quality Management, Data Mapping",3 weeks ago
Business Analyst – Cloud Data Platform,Evnek,4-6 Yrs,"Bengaluru, Mumbai, Delhi / NCR",Excellent communication and stakeholder management skills are required. We are seeking ...,"Azure Data Platform, Business Analysis, SQL, Azure Data Factory, Business Analyst, Cloud Data Platform, Azure Data Engineering, Azure Databricks",3 weeks ago
"Data Eng, Mgmt & Governance Sr Analyst",Accenture,5-8 Yrs,Bengaluru,Skill required: Data Management - AWS Architecture Years of Experience: 5 to 8 years Co...,"data management, data analysis, pyspark, aws, etl, hive, python, project management",3 weeks ago
Senior Data Management Analyst,Wells Fargo,4-9 Yrs,Bengaluru,shift timings 1:30 PM to 10:30 PM Experience in Basel . Job Expectations: . Experience ...,"Data Management, project management, metadata, python, data analysis, data analytics, data qualityManagement, business analysis",2 weeks ago
Business Analyst/Data Analyst,Leading Client,3-5 Yrs,Bengaluru,"About The Opportunity :A key player in the consulting industry, we specialize in levera...","Data Analysis, Visualization, Pandas, Dashboard Design, Statistical Analyst, Data Modeling, Data Analytics, Numpy",3+ weeks ago
IT.Applications & Data.Business Analysis.Analyst III,Alorica,3-6 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",Alorica India Private Limited is looking for IT.Applications & Data.Business Analysis.A...,"Business analysis, Senior Analyst, Senior, III, Analysis",3+ weeks ago
"Data Eng, Mgmt & Governance Sr Analyst",Accenture,5-8 Yrs,Bengaluru,Skill required: Data Management - PySpark Years of Experience: 5 to 8 years . About Acc...,"python, data management, data analysis, pyspark, aws, hive, project management, data analytics",3+ weeks ago
Senior Data Analyst,Capco,4-8 Yrs,Bengaluru,Responsibilities:Define and obtain source data required to successfully deliver insight...,"confluence, change request, vba coding, jira, financial reporting, hive, scala, pyspark",3+ weeks ago
Senior Data Analyst,Capco,4-9 Yrs,"Bengaluru, Pune",Responsibilities Define and obtain source data required to successfully deliver insight...,"python, pyspark, change request, financial services, sql, hive, data analysis, sql queries",3+ weeks ago
Business Analyst Data Lifecycle Management,Morgan Stanley,2-5 Yrs,"Bengaluru, Pune, Mumbai (All Areas)",Req Title: Business Analyst Data Lifecycle ManagementCompany Profile Morgan Stanley i...,"Financial Services, Data Life Cycle Management, Data Management, Data Migration, Power Bi, Data Analysis, Tableau, Data Storage And Retrieval",3+ weeks ago
"Senior Data Analyst, Ads , Sales Enablement & Insights",Amazon,2-6 Yrs,Bengaluru,Amazon Advertising exists at the intersection of marketing and ecommerce and offers adv...,"Computer science, Automation, Business analysis, Analytical, Senior Data Analyst, Manager Quality Control, Business intelligence, Analytics",3+ weeks ago
Senior Data Support Analyst,Jones Lang LaSalle,5-10 Yrs,Bengaluru,"Bachelor s degree, or equivalent experience in a related field relevant work experience...","Data analysis, Data validation, Manager Quality Assurance, Support Analyst, data integrity, Investment management, Customer service, commercial real estate",2 weeks ago
Senior Data Analyst,Capco,7-12 Yrs,"Hybrid - Bengaluru, Pune",Role & responsibilities Role: Data Analyst / Senior Data AnalystExperience: 8+ yearsLoc...,"Pyspark, Data Analysis, Python, SQL, Data, Analysis, Senior",3+ weeks ago
Sr Financial Business Systems Analyst,Illumina,4-6 Yrs,Bengaluru,"Bachelor s or Master s degree in Finance, Data Science, Engineering, or a related field...","Career development, Data analysis, Automation, SAP, PDF, VLOOKUP, Cognos, Forecasting",3+ weeks ago
Sr Financial Business Systems Analyst,Illumina,4-9 Yrs,Bengaluru,"Must have excellent written, verbal and presentation skills. Education: . 6+ years of r...","Computer science, Automation, PDF, Performance management, Process improvement, Budgeting, Business intelligence, SDLC",2 weeks ago
Sr Financial Business Systems Analyst,Illuminz,4-9 Yrs,Bengaluru,"Must have excellent written, verbal and presentation skills. Education: . 6+ years of r...","Computer science, Automation, PDF, Performance management, Process improvement, Budgeting, Business intelligence, SDLC",2 weeks ago
Senior Business Analyst Open Finance,Paraminfo,8-13 Yrs,Bengaluru,"Agile\/BA certifications (e.g., CBAP, CSPO, PSM, SAFe BA) preferredExperience : 8+ year...","Dispute resolution, Business analysis, Agile, data governance, Senior Business Analyst, JSON, Scrum, PSM",2 weeks ago
"Data Eng, Mgmt & Governance Sr Analyst",Accenture,5-8 Yrs,Bengaluru,Skill required: Data Management - Alteryx . Years of Experience: 5 to 8 years . About A...,"python, data management, data analysis, sql, alteryx, data analytics, sas, business analysis",2 weeks ago
"Lead Business Analyst, Data Control",Thomson Reuters,10-15 Yrs,Bengaluru,"Qualifications : Bachelors degree in business, Computer Science, or a related field Mas...","data analysis, presentation skills, networking, reuters, thomson, python, project management, data management",2 weeks ago
"Data Eng, Mgmt & Governance Sr Analyst",Accenture,5-8 Yrs,Bengaluru,About The Role Skill required: Data Management - Structured Query Language (SQL)Desig...,"python, power bi, sql, tableau, gcp, schema, metadata, data management",3 weeks ago
Data Analytics Business Analyst Lead - GSC,Solventum,7-12 Yrs,Bengaluru,". Design & Deliver Solutions : Analyze complex requirements, gather essential data, and...","metadata, Business Analyst Lead, SAP, Data modeling, Consulting, System integration, Pega, Business intelligence",3 weeks ago
Data Analytics Business Analyst Lead,Solventum,7-12 Yrs,Bengaluru,". Design & Deliver Solutions : Analyze complex requirements, gather essential data, and...","Supply chain, metadata, SAP, Data modeling, Consulting, System integration, Pega, Business intelligence",3 weeks ago
Data Analytics Business Analyst Lead - Dental & PF,Solventum,7-12 Yrs,Bengaluru,". Design & Deliver Solutions : Analyze complex requirements, gather essential data, and...","metadata, Business Analyst Lead, SAP, Data modeling, Consulting, System integration, Pega, Business intelligence",3 weeks ago
Data Analytics Business Analyst Lead,Solventum,7-12 Yrs,Bengaluru,". Design & Deliver Solutions : Analyze complex requirements, gather essential data, and...","metadata, Business Analyst Lead, SAP, Data modeling, Consulting, System integration, Pega, Business intelligence",3 weeks ago
"Lead Business Analyst, Data Control",Reuters,10-15 Yrs,Bengaluru,"Bachelor s degree in business, Computer Science, or a related fieldExperience in design...","Computer science, Career development, Data analysis, Networking, Data management, Project management, Consulting, Analytics",3+ weeks ago
Data Analyst US Business,Skit.ai,2-3 Yrs,Bengaluru,"2-3 years of analytics experience in fintech, collections, or SaaS","Data analysis, Debt recovery, SMS, power bi, data privacy, Data Analyst, Macros, Operations",3+ weeks ago
2804 - Business Data Analyst,EXL,5-10 Yrs,"Hybrid - Bengaluru, Noida, Pune",Required Skills: . Strong hands-on experience with SQL and Spark (Python is a plus) Exp...,"Data Validation, Data Lineage, data set, Data Mapping, SQL, Excel, Data Sets, Banking Sector",3+ weeks ago
Senior Data Analyst,Renesas Electronics India Pvt. Ltd.,5-8 Yrs,Bengaluru,Qualifications. University degree or masters in mechanical / industrial engineering / m...,"ERP, Automation, Data analysis, SAP, SAP MM, Project management, Agile, SCM",2 days ago
Senior Data Analyst,Zynga,2-6 Yrs,Bengaluru,Position Overview: Zynga s data science and analytics team uses our unique and ...,"Computer science, data science, Machine learning, Senior Data Analyst, QlikView, Gaming, Analytics, SQL",3+ weeks ago
Product Line Senior Data Analyst,Hitachi Energy,4-7 Yrs,Bengaluru,Please include your contact information and specific details about your required accomm...,"Business administration, Interpersonal skills, SAP, Excel, Finance, Senior Data Analyst, power bi, Budgeting",3+ weeks ago
Senior Data Analyst,Capco,4-8 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",Awarded with Consultancy of the year in the British Bank Award and has been ranked Top ...,"hive, python, data analysis, sql queries, modeling, scala, pyspark, business analysis",3+ weeks ago
Procurement Excellence Sr. Data Analyst,Xylem Water Solutions,4-8 Yrs,"Bengaluru, Vadodara","Bachelor s degree in Business, Supply Chain Management, Information Systems, Finance, o...","Procurement, Data analysis, Supply chain management, Automation, Analytical, Data collection, Data quality, MS Office",1 week ago
Financial Analyst - Fresher,Trade Brains,0-2 Yrs,"Bengaluru, HSR Layout",Requirements: Graduate / Post-Graduate in finance or any related fieldGood understandin...,"News editing, Financial Analysis, Report writing, Financial literacy, Stock Trading, Stock Market, research, Writing",1 week ago
Financial Analysis Internship,Discover Dollar Technologies,,Bengaluru,,,Starts in 1-3 months
Business Data Analyst,AARNA HR SOLUTIONS PVT. LTD.,3-6 Yrs,Bengaluru,"Position: Business Data Analyst . Qualification: Bachelor s Degree in Computer Science,...","ERP, SAP, SAS, Business Data Analyst, XML, SPSS, Oracle, Data mining",3+ weeks ago
Sr. Data Analyst,Tata Digital,4-6 Yrs,Bengaluru,You must liaise with the different stakeholders understand their challenges and come up...,"Hospitality, SAS, Database design, Analytical, Customer service, SPSS, Data mining, Analytics",3+ weeks ago
Business & Data Analyst,Anokhi Tv,2-7 Yrs,Bengaluru,". Proficient in Excel / Google Sheets and SQLAnoki AI empowers content partners, CTV pl...","Data analysis, Automation, Data validation, Campaign management, Business analysis, Analytical, Operations, Analytics",3+ weeks ago
Business Analysis (Data & Insights Analyst),Iron Mountain,5-9 Yrs,Bengaluru,"Please Note: Shift will be 5:30PM to 2:30AM, and it is Work From Office at Bagmane Worl...","Operational excellence, Sales operations, Business analysis, Analytical, Business intelligence, Continuous improvement, Operations, Analytics",3+ weeks ago
Sr. Data Analyst,Opentext,5-10 Yrs,Bengaluru,"Responsible for creating and maintaining master data such as Customer, Vendor, Material...","sap, pivot table, vlookup, erp systems, pivot, data operations, data services, data analysis",2 weeks ago
Senior Analyst Digital Product Data,TE Connectivity,3-5 Yrs,Bengaluru,Achievement against collected targets of required digital content availability will be ...,"data sources, information management, power bi, relational databases, tableau, macros, adobe analytics, data analytics",2 weeks ago
Business Data Analyst,Clairvoyant India,5-10 Yrs,"Hybrid - Bengaluru, Pune, Gurugram",Role & responsibilities Act as liaison between the technical and business teams. Should...,"Property And Casualty Insurance, SQL, Data Mapping, Data Analysis, Business Data Analysis, Analysis, Mapping, Property",2 weeks ago
Senior Data Analyst,IBM,8-13 Yrs,Bengaluru,Build and maintain Power BI dashboards and data models for cross-functional business ...,"power bi, azure data factory, alteryx, ssrs, etl, ms azure, data analytics, data analysis",2 weeks ago
SAP Cloud Business Analyst / Tester / Data Analyst,Fort Technologies,2-5 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",1. Business Analysis: Collaborate with stakeholders to gather and understand business...,"System testing, Data analysis, SAP, Testing tools, Business analysis, Regression testing, Scrum, Test cases",3+ weeks ago
Senior Data Analyst,Capco,8-12 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai","Domain preferably BFSI . Ability of coding in PySpark, Python, SQL are must in Data ana...","Data analysis, Coding, Bfsi, Agile, Stakeholder management, JIRA, Project delivery, Financial services",3+ weeks ago
Clinical Data Svs Sr Analyst,Accenture,5-8 Yrs,Bengaluru,"Qualifications: Bachelor of Pharmacy / Master of Pharmacy Bachelor of Pharmacy, Master ...","data services, clinical data management, clinical data, clinical research, clinical trials, sae reconciliation, inform, medidata rave",3 weeks ago
Senior Principal Data Analyst - Lead,Red Hat,10-15 Yrs,Bengaluru,"Bachelors degree in Data Science, Statistics, Economics, or related field (Masters pref...","google sheets, sales, incentives, automation tools, data governance, python, data analytics, data analysis",3 weeks ago
Senior Data Analyst,IBM,8-13 Yrs,Bengaluru,Build and maintain Power BI dashboards and data models for cross-functional business ...,"power bi, azure data factory, alteryx, ssrs, etl, 50837, ms azure, data analytics",3 weeks ago
Sr Analyst II Finance Business Partner,Shashwath Solution,6-10 Yrs,"Bengaluru, Pune, Delhi / NCR",Required Skills: CA or ICWA qualification preferred. Minimum 3 years of relevant experi...,"financial analysis, sap, business finance, power bi, accounting, Margin Analysis, Revenue Monitoring, Cost Management",3+ weeks ago
Senior Solution Analyst - Cloud & Data Center,Microland,3-7 Yrs,Bengaluru,"1. Monitor, diagnose, and resolve complex network and computer system issues. 2. Manag...","switching, server, eigrp, network engineering, networking, bgp, ccnp, sales",1 day ago
IN-Senior Associate_ Data Analyst __Data and Analytics,PwC Service Delivery Center,5-8 Yrs,Bengaluru,"Not Applicable Specialism Data, Analytics & AI Management Level Senior ...","Automation, Data analysis, GIT, Data management, Data modeling, Stored procedures, Business intelligence, Data mining",3+ weeks ago
Senior Data Analyst,Jones Lang LaSalle Property Consultants (India) Pv t. Ltd.,3-7 Yrs,Bengaluru,"Enterprise Analytics Technology, Data & Information Management Centre of Expertise (TDI...","Data analysis, SAS, Senior Data Analyst, Qlikview, Tableau, SQL, Python, Data",1 week ago
"Senior Analyst, Sustainability Data and Reporting",Jones Lang LaSalle Property Consultants (India) Pv t. Ltd.,4-6 Yrs,Bengaluru,"University Degree Graduate / post graduate in Environmental Engineering, Sustainability...","data analysis, data management, Power BI, data processing, data visualizations, Data, Process, Analysis",1 week ago
Senior Data Analyst,Jones Lang LaSalle Property Consultants (India) Pv t. Ltd.,3-6 Yrs,Bengaluru,Understand stakeholder requirements and needs for sourcing analytics and make recommend...,"power bi, tableau, pc, ariba, coupa, python, data analysis, natural language processing",1 week ago
Sr Analyst I Data Engineering,DXC Technology,5-10 Yrs,Bengaluru,"Essential Job Functions: Participate in data engineering tasks, including data proc...","Usage, Manager Quality Assurance, Senior Analyst, Social media, Manager Technology, Data processing, Data quality, Oracle",2 weeks ago
S&C Global Network - AI - Hi Tech - Data Science Sr. Analyst,Accenture,4-9 Yrs,Bengaluru,"Knowledge of LLM exposure and experience with tools such as ChatGPT, Llama 2, Claude 2,...","python, erp, natural language processing, computer vision, crm, flooring, microsoft azure, concreting",2 weeks ago
Senior Data Analyst,Accolite Software India Pvt Ltd,3-8 Yrs,Bengaluru,"Experience with Data Modeling and Data Warehousing, strong data analysis and modeling s...","Unix, Performance tuning, Business objects, Application support, Data modeling, PLSQL, Informatica, Teradata",3+ weeks ago
Business Analyst,Jindal Aluminium,5-6 Yrs,Bengaluru,. Musthave capability to look things from different perspectives & not tooverlook anyth...,"Market analysis, Senior management, Business Analyst, Analytical, Raw material procurement, Market Data Analyst, Research, Strategy development",3+ weeks ago
