title,company,experience,location,description,skills,posted
Analyst,Wipro,0-1 Yrs,Bengaluru,"Shift Timings: 2 PM to 11:30 PMStrong Microsoft Office skills (MS Excel, MS PowerPoint ...","Bank Loan, Bank Debt, Cash and Position Reconciliation, loan rollover, Debt, Cash, Positioning, Reconciliation",3 weeks ago
"FinOps Analyst , FinOps",Amazon,0-1 Yrs,Bengaluru,0 1 years of experience in accounts payable or general accounting (internship experienc...,"Service delivery, Typing speed, Excel, General accounting, Business modeling, Oracle financials, MS Office, Internship",3+ weeks ago
FinOps Analyst -,Amazon,0-5 Yrs,Bengaluru,Degree / Masters Degree in Finance / Accounting as Major SubjectApplicant to have minim...,"Excel, Invoice Processing, Invoice Verification, Payment Processing, Accounts Payable, Payments, Analysis, Payables",3+ weeks ago
Cerner Analyst,Tech Mahindra,,,"Develop and maintain good relationship with peers and client, provide timely feedback t...","Cerner, Orders, Cerner Core, Cerner Rules, Cerner Soarian, Scheduling, CCL, HIM",1 week ago
Metadata Analyst,Exxon Mobil Corporation,1-8 Yrs,Bengaluru,About us We invite you to bring your ideas to ExxonMobil to help create ...,"Automation, Networking, Data management, Project management, Continuous improvement, Operations, Analytics, Monitoring",3+ weeks ago
Analyst,eClerx,0-1 Yrs,Bengaluru,"About The Role The ideal candidate must possess strong communication skills, with an ab...","rta, financial analysis, project management, data analysis, quality control, team management, forecasting, rostering",3+ weeks ago
Analyst,eClerx,0-3 Yrs,Bengaluru,Looking for a skilled Analyst to join our team at eClerx Services Ltd. The ideal candid...,"incident management, project management, team management, it services, program management, business analysis, networking, business development",3+ weeks ago
Analyst,Grant Thornton India Pvt Ltd,0-1 Yrs,Bengaluru,Bachelor / Post Graduation degree along with - . Must be able to communicate with conta...,"RCS, Web technologies, Excel, Relationship, Internet research, Customer service, Computer proficient, Research",3+ weeks ago
Analyst,eClerx,0-2 Yrs,Bengaluru,"Bachelors Degree (BCom, BBA, BBM, BCA) Masters Degree (MCom, MBA, PGDM) 0 to 2 years of...","corporate actions, settlements, trading, data management, report generation, data processing, investment banking, regulatory reporting",3+ weeks ago
Analyst,Goldman Sachs,0-4 Yrs,"Bengaluru, Hyderabad",Please note that our firm has adopted a COVID-19 vaccination requirement for employees ...,"Financial control, Networking, Wellness, HTML, Investment banking, Asset management, Investment management, Training and Development",3+ weeks ago
Analyst / Associate,Singhi Advisors,1-2 Yrs,"Bengaluru, Mumbai, New Delhi",MBA / PGDM -Finance from premier Institute CA / CFA (with Articleship experience from B...,"Due diligence, Financial statements, Networking, Equity research, MIS, Project management, Analytical, Corporate finance",3+ weeks ago
